listing litle,city,area,zone,location_hub,property_type,ownership,size_in_sqft,carpet_area_sqft,private_washroom,public_washroom,floor_no,total_floors,amenities_count,electric_charge_included,water_charge_included,property_age,possession_status,posted_by,lock in period,expected rent increases yearly,negotiable,brokerage,security_deposite,rent_price,water_storae,power_backup,fire_safety,cctv,oxygen_duct,vastu,water_supply,fire_extinghuishers,meeting_room,dg_and_ups,fire_extinguishers,pantry,dg,meeting_rooms,food_court,fire_sensors,ccvt,water_storage,internate,panetry,internet,staricase,staircase,paarking,sqcurity,metting_room,staircases,parking,furnishing,lift,cabin,reception_area,cebin,fire_sefty,fire_extinguisher,0,fire_safty,security
commercial property,nagpur,pratap nagar,south,Residential,commercial property,freehold,6000,4000,1,0,"1,2",3,"CCTV,fire extinguisher, pantry(3)",no,yes,3 years,ready to move,housing expert,6 months,0.0,yes,yes,1000000.0,200000,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
showroom for rent,nagpur,besa,south,commercial project,showroom,freehold,550,500,1,1,0,2,"water storage, internet, vastu, power backup, security, parking(6)",yes,yes,5 years,ready to move,housing expert,12 months,0.1,yes,no,150000.0,50000,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
showroom for rent,nagpur,hingna,east,commercial project,showroom,freehold,3500,3200,1,0,0,8,"water storage, vastu, internet, CCTV, power backup(6)",no,yes,6 years,ready to move,housing expert,12 months,0.05,no,yes,3000000.0,350000,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
showroom for rent,nagpur,ganeshpeth colony,west,Market/ High Street,showroom,freehold,1300,1250,1,1,0,3,"DG, water storage, CCTV, vastu, food court, power backup, internet, parking(8)",yes,yes,2 years,ready to move,housing expert,6 months,0.1,yes,yes,400000.0,120000,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
showroom for rent,nagpur,jaitala,east,commercial project,showroom,freehold,2600,2600,1,1,"0,1",1,"water storage, vastu, parking(3)",no,yes,0,Under Construction,owner,3 months,0.1,no,no,2000000.0,450000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
showroom for rent,nagpur,sitabuldi,south,commercial project,showroom,freehold,1600,1500,1,0,0,1,"water storage, CCTV(2)",no,yes,15 years,ready to move,owner,6 months,0.1,yes,no,0.0,160000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commercial property,nagpur,chatrapati nagar,south,Retail Complex/ Building,showroom,freehold,1000,900,0,2,1,4,"CCTV, vastu, power backup,parking(3)",no,yes,15 years,ready to move,owner,2 months,0.05,yes,no,1200000.0,200000,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
showroom for rent,nagpur,gandhibag,west,commercial project,showroom,leasehold,550,550,1,1,0,3,"CCTV, vastu, security, parking(4)",no,yes,2 years,ready to move,owner,2 months,0.1,yes,no,75000.0,16000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
showroom for rent,nagpur,itwari,west,commercial project,showroom,leasehold,2100,1900,3,3,"1,2",3,"water storage, CCTV,vastu, power backup, security, internet(6)",no,yes,1 year,ready to move,broker,3 months,0.05,yes,yes,900000.0,130000,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
showroom for rent,nagpur,kharbi,west,Market/ High Street,showroom,freehold,950,800,1,1,1,3,"water storage,CCTV, vastu, security,internet(5)",no,yes,12 years,ready to move,broker,12 months,0.0,no,yes,400000.0,65000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
showroom for rent,nagpur,manewada,south,others,showroom,freehold,1000,1000,2,0,2,3,parking(1),no,yes,4 years,ready to move,owner,10 months,0.0,no,no,50000.0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
showroom for rent,nagpur,omkar nagar,east,commercial project,showroom,cooperative society,1200,1152,1,1,0,3,"parking, water supply, CCTV, vastu, sqcurity(4)",no,yes,3 years,ready to move,broker,0,0.1,yes,yes,300000.0,100000,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
godown for rent,nagpur,babulban,south,Residential Project,godown,freehold,1600,1600,1,1,0,1,"parking, vastu(2)",no,yes,2 years,ready to move,owner,0,0.05,yes,no,50000.0,18000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
shop for rent,nagpur,mhalgi nagar,south,Market/ High Street,shop,leasehold,250,150,1,1,0,4,"water storage, parking (2)",no,yes,10 years,ready to move,owner,2 months,0.05,no,no,0.0,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
shop for rent,nagpur,sitabuldi,south,Market/ High Street,shop,leasehold,225,160,1,0,1,1,"water storage, CCTV, parking(3)",no,yes,0,ready to move,owner,2 months,0.1,no, no,120000.0,12000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
shop for rent,nagpur,gandhibag,west,Retail Complex/ Building,shop,freehold,550,250,1,1,0,1,"security, water storage(2)",no,yes,20 years,ready to move,owner,6  months,0.1,yes,no,100000.0,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
shop for rent,nagpur,besa,west,commercial project,shop,freehold,250,250,1,1,0,2,"CCTV, vastu,parking(3)",no,yes,10 years,ready to move,owner,8  months,0.1,yes,no,0.0,15000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ready to use office space,nagpur,besa,south,commercial project,shop,freehold,150,150,1,0,0,1,"cabin, meeting room, CCTV, vastu, security, internet,furnishing(7)",no,yes,5 years,ready to move,broker,4  months,0.0,yes,yes,0.0,17000,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
ready to use office space,nagpur,mahal,south,Market/ High Street,shop,freehold,200,200,0,1,0,2,"CCTV, vastu, internet, parking(4)",no,yes,15 years,ready to move,owner,12 months,0.05,yes,no,150000.0,25000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
shop for rent,nagpur,sitabuldi,east,Residential Project,shop,freehold,500,400,1,1,1,2,"parking, water storage, CCTV, power backup, internet(5)",no,yes,3 years,ready to move,owner,6 months,0.1,no,no,90000.0,15000,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ready to use office space,nagpur,itwari,south,others,shop,freehold,2300,2000,1,1,1,1,"cabin,meeting room, staircases, water storage, vastu(5)",no,yes,5 years,ready to move,owner,2 months,0.05,no,no,70000.0,30000,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
ready to use office space,nagpur,jaitala,south,IT Park,ready to use office,freehold,1000,785,1,1,1,5,"cabin, meeting room, water storage, CCVT, vastu, power backup, parking(7)",no,yes,5 years,ready to move,broker,2 months,0.0,yes,yes,120000.0,30000,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
ready to use office space,nagpur,hingna,south,Business Park,ready to use office,freehold,2500,2000,1,1,1,3,"water storage, reception area, parking, cebin, meeting room(5)",no,yes,5 years,ready to move,owner,6 months,0.0,yes,no,0.0,55000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
werehouse,nagpur,jaitala,south,others,werehouse,leasehold,50000,15000,2,2,0,1,"CCTV ,power backup, security, furnishing(4)",no,yes,2 years,ready to move,broker,2 months,0.1,yes,yes,600000.0,200000,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
werehouse,nagpur,omkar nagar,south,Commercial Project,werehouse,leasehold,2400,2200,2,1,0,1,parking(1),no,yes,2 years,ready to move,broker,2 months,0.1,yes,yes,500000.0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
werehouse,nagpur,mahal,west,Commercial Project,werehouse,power_of_attorney,900,750,2,2,1,2,"vastu, internet, parking(3)",no,yes,10 years,ready to move,owner,2 months,0.0,yes,no,0.0,40000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
shop for rent,nagpur,kharbi,south,commercial project,shop,freehold,300,230,1,1,0,5,"CCTV, internet, parking(3)",no,yes,15 years,ready to move,owner,6 months,0.1,yes,no,70000.0,23000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
shop for rent,nagpur,sadar,south,commercial project,shop,freehold,550,350,0,1,1,4,"water storage, parking(2)",no,yes,12 years,ready to move,housing expert,1 month,0.1,yes,yes,150000.0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ready to use office space,nagpur,sakkardara,west,business park,ready to use office,cooperative society,1000,800,1,2,0,2,"parking, water storae, CCTV, power backup, internet, reception area, fire sensors, furnishing,lift (9)",no,yes,3 years,ready to move,housing expert,11 months,0.0,0,yes,0.0,35000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0
bare shell office space,nagpur,chatrapati nagar,west,IT Park,bare shell office,freehold,2100,0,1,0,8,15,"lift, parking, power backup, CCTV, vastu, pantry,DG and UPS (7)",no,yes,0,ready to move,housing expert,1 month,0.05,yes,yes,700000.0,130000,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
bare shell office space,nagpur,jaitala,south,others,bare shell office,freehold,1500,0,1,0,2,3,"DG and UPS , parking, staircases, CCTV, power backup, reception area, pantry (8)",yes,yes,3 years,ready to move,housing expert,11 months,0.05,yes,yes,150000.0,45000,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
bare shell office space,nagpur,omkar nagar,north,others,bare shell office,freehold,1850,0,1,0,2,3,"fire sefty, staircase , power backup(3)",no,yes,10 years,ready to move,owner,2 months,0.1,0,no,120000.0,40000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
bare shell office space,nagpur,besa,east,others,bare shell office,freehold,7500,0,1,0,2,7,staircase(1),no,yes,30 years,ready to move,owner,1 month,0.0,0,no,0.0,250000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bare shell office space,nagpur,manish nagar,south,commercial project,bare shell office,freehold,2300,0,1,0,"0,1,2,3,4",4,"water storage, fire safety, lift, staricase , parking(5)",no,yes,0,ready to move,owner,1 month,0.05,yes,no,100000.0,100000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
bare shell office space,nagpur,somalwada,south,others,bare shell office,freehold,4000,0,1,0,1,4,"DG and UPS, lift, staircase, water storage, CCTV, security, internet, pantry",no,yes,1 year,ready to move,owner,3 months,0.05,yes,no,600000.0,160000,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
bare shell office space,nagpur,ganeshpeth colony,east,business park,bare shell office,freehold,330,0,1,0,2,6,"lift, parking, water storage, CCTV, security, internate (6)",no,yes,20 years,ready to move,owner,0,0.0,yes,no,70000.0,25000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
bare shell office space,nagpur,mihan,west,others,bare shell office,leasehold,1200,0,1,0,2,2,"parking, water storage, vastu, staircase , DG and UPS(5)",no,yes,0,Under Construction,owner,12 months,0.1,yes,no,300000.0,50000,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
bare shell office space,nagpur,mihan,south,IT Park,bare shell office,freehold,15000,0,1,0,"0,1",4,"parking, lift, water storage, food court, security, panetry, furnishing (7)",no,yes,1 year,ready to move,owner,0,0.0,yes,no,0.0,400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
bare shell office space,nagpur,jaitala,south,others,bare shell office,leasehold,1200,0,1,0,1,2,"parking, staircase,water storage (3)",no,yes,0,Under Construction,owner,11 months,0.1,yes,no,300000.0,60000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
bare shell office space,nagpur,kharbi,west,others,bare shell office,freehold,450,0,1,1,2,9,"DG and UPS , parking, staircases, water storage, food court, power backup, security, fire extinghuishers(8)",no,yes,20 years,ready to move,owner,36 months,0.1,yes,no,150000.0,40000,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
bare shell office space,nagpur,manewada,north,business park,bare shell office,power_of_attorney,3600,0,1,0,1,3,"water supply, CCTV(2)",no,yes,15 years,ready to move,owner,2 months,0.05,yes,no,250000.0,80000,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bare shell office space,nagpur,new indora,east,others,bare shell office,freehold,2000,0,1,0,2,4,"lift , staircase, parking, water storage, CCTV, internet, fire extinguishers, pantry (8)",no,yes,3 years,ready to move,owner,3 months,0.05,no,no,150000.0,50000,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
showroom for rent,nagpur,pratap nagar,south,Retail Complex/ Building,showroom,freehold,900,750,1,1,1,1,"CCTV,food court,lift, parking(4)",no,yes,5 years,ready to move,housing expert,6 months,0.1,yes,yes,450000.0,75000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
ready to use office space,nagpur,pratap nagar,south,others,ready to use office,freehold,600,500,1,1,1,1,"lift, cabin,metting room(3)",no,yes,6 years,ready to move,owner,2 months,0.05,yes,no,60000.0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
shop for rent,nagpur,somalwada,south,Retail Complex/ Building,shop,freehold,300,250,1,0,0,2,"parking, CCTV , water storage(3)",no,yes,5 years,ready to move,owner,12 months,0.1,yes,no,25000.0,12000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
commercial property,nagpur,sitabuldi,south,others,commercial property,leasehold,1250,1012,1,2,0,2,"water storage, parking(2)",no,yes,5 years,ready to move,housing expert,6 months,0.1,yes,yes,40000.0,20000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ready to use office space,nagpur,pardi,south,IT Park,ready to use office,freehold,2000,1800,2,1,0,2,"water storage, internet,cabin,meeting rooms(4)",yes,yes,5 years,ready to move,owner,6 months,0.1,no,no,30000.0,15000,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
shop for rent,nagpur,itwari,south,others,shop,freehold,200,180,2,0,0,3,"water storage,internet,vastu,CCTV(4)",no,yes,5 years,ready to move,owner,4 months,0.05,yes,no,40000.0,20000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
commercial property,nagpur,dhantoli,west,Retail Complex/ Building,commercial property,freehold,8000,6000,1,3,"1,2",3,"CCTV, food court,fire extinguisher, pantry, parking, lift , staircase(7)",no,yes,3 years,ready to move,housing expert,6 months,0.0,yes,yes,200000.0,100000,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
showroom for rent,nagpur,ramdaspeth,east,commercial project,showroom,freehold,600,550,2,2,0,2,"water storage, internet,  power backup, security, parking(5)",no,yes,5 years,ready to move,owner,12 months,0.1,yes,no,200000.0,60000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
showroom for rent,nagpur,besa,south,commercial project,showroom,freehold,3500,3200,2,0,0,8,"water storage, vastu, internet, CCTV, power backup(6)",no,yes,5 years,ready to move,housing expert,12 months,0.05,no,yes,3000000.0,350000,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
showroom for rent,nagpur,mahal,west,Market/ High Street,showroom,freehold,1300,1250,1,1,0,3,"DG, water storage, CCTV, vastu, food court, power backup, parking(7)",no,yes,4 years,ready to move,broker,6 months,0.1,yes,yes,400000.0,100000,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
showroom for rent,nagpur,laxminagar,east,commercial project,showroom,power_of_attorney,2600,2600,1,1,"0,1",1,"water storage, vastu, parking(3)",no,yes,4 years,Under Construction,owner,3 months,0.1,no,no,2000000.0,450000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
showroom for rent,nagpur,manewada,east,Market/ High Street,showroom,freehold,1600,1500,1,0,0,1,"water storage, CCTV, paarking(3)",no,yes,15 years,ready to move,owner,6 months,0.1,yes,no,200000.0,160000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
showroom for rent,nagpur,jaitala,south,others,showroom,freehold,1000,900,0,2,1,4,"CCTV, vastu, power backup, internet,parking(4)",no,yes,15 years,ready to move,owner,2 months,0.05,yes,no,120000.0,200000,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
showroom for rent,nagpur,gandhibag,east,others,showroom,leasehold,550,550,1,1,0,3,"CCTV, vastu, security, parking(4)",yes,yes,2 years,ready to move,owner,2 months,0.05,yes,no,75000.0,16000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
showroom for rent,nagpur,ajni,south,commercial project,showroom,leasehold,2100,1900,3,2,"1,2",3,"water storage, CCTV,vastu, power backup, security, internet, parking(7)",no,yes,1 year,ready to move,broker,3 months,0.05,yes,yes,900000.0,130000,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
showroom for rent,nagpur,nandanwan,south,Market/ High Street,showroom,freehold,950,800,1,1,1,3,"water storage,CCTV, vastu, security,internet(5)",no,yes,12 years,ready to move,broker,10 months,0.05,no,yes,400000.0,65000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
showroom for rent,nagpur,ramdaspeth,east,Market/ High Street,showroom,freehold,1000,1000,2,1,2,3,"parking, vastu(2)",no,yes,4 years,ready to move,owner,4 months,0.1,no,no,100000.0,50000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
showroom for rent,nagpur,besa,south,commercial project,showroom,cooperative society,1200,1152,1,1,0,3,"parking, water supply, CCTV, vastu, sqcurity(4)",no,yes,3 years,ready to move,broker,6 months,0.1,yes,yes,300000.0,100000,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
godown for rent,nagpur,jaitala,south,commercial project,godown,freehold,1600,1600,1,1,0,1,"parking, vastu(2)",no,yes,2 years,ready to move,owner,2 months,0.05,yes,no,50000.0,18000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
shop for rent,nagpur,dharampeth,east,Market/ High Street,shop,leasehold,250,150,1,1,0,4,"parking, vastu, power backup(3)",no,yes,10 years,ready to move,owner,2 months,0.05,no,no,20000.0,10000,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
shop for rent,nagpur,omkar nagar,south,others,shop,leasehold,225,160,1,0,1,1,"water storage, CCTV, parking(3)",no,yes,5 years,ready to move,owner,4 months,0.05,no, no,50000.0,12000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
shop for rent,nagpur,mahal,west,Retail Complex/ Building,shop,freehold,550,400,1,1,0,1,"security, parking(2)",no,yes,20 years,ready to move,owner,6  months,0.05,yes,no,100000.0,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
shop for rent,nagpur,manish nagar,south,commercial project,shop,freehold,250,250,1,1,0,2,"CCTV, vastu,parking(3)",no,yes,5 years,ready to move,broker,8  months,0.1,yes,yes,30000.0,15000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
shop for rent,nagpur,ramdaspeth,south,commercial project,ready to use office,freehold,250,200,1,1,0,1,"cabin, meeting room, CCTV, vastu, security, internet,furnishing(7)",no,yes,5 years,ready to move,owner,4  months,0.05,yes,no,40000.0,20000,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
ready to use office space,nagpur,omkar nagar,south,commercial project,shop,freehold,200,200,0,1,0,2,"CCTV, vastu, internet, parking,staircase(5)",no,yes,10 years,ready to move,broker,12 months,0.05,yes,yes,150000.0,25000,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
shop for rent,nagpur,dharampeth,east,Residential Project,shop,freehold,500,400,1,1,1,2,"parking, water storage, CCTV, power backup, internet(5)",no,yes,3 years,ready to move,owner,6 months,0.1,no,no,90000.0,15000,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ready to use office space,nagpur,manewada,south,others,shop,freehold,2300,2000,1,1,1,1,"cabin,meeting room, staircases, water storage, vastu(5)",no,yes,5 years,ready to move,owner,2 months,0.05,no,no,70000.0,30000,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
ready to use office space,nagpur,hingna,south,IT Park,ready to use office,freehold,1000,785,1,1,1,5,"cabin, meeting room, water storage, CCVT, vastu, power backup, fire extinguishers, pantry, furnishing, parking(10)",no,yes,6 years,ready to move,broker,2 months,0.0,yes,yes,120000.0,30000,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
ready to use office space,nagpur,chatrapati nagar,south,Business Park,ready to use office,freehold,2500,2000,1,1,1,3,"water storage, reception area, parking, cebin, meeting room(5)",no,yes,5 years,ready to move,owner,6 months,0.1,yes,no,120000.0,55000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
werehouse,nagpur,dighori,south,others,werehouse,leasehold,2000,1500,2,2,0,1,"CCTV ,power backup, security, furnishing(4)",no,yes,2 years,ready to move,broker,2 months,0.05,yes,yes,100000.0,25000,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
werehouse,nagpur,kharbi,south,Business Park,werehouse,leasehold,3000,2700,1,2,0,1,"parking, CCTV , security,power backup(4)",no,yes,2 years,ready to move,broker,2 months,0.05,yes,yes,120000.0,60000,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
werehouse,nagpur,omkar nagar,south,others,werehouse,freehold,1000,950,2,1,1,2,"vastu, internet, parking(3)",no,yes,5 years,ready to move,owner,2 months,0.05,yes,no,100000.0,50000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
shop for rent,nagpur,mhalgi nagar,south,commercial project,shop,freehold,500,460,3,2,0,5,"CCTV, internet, parking(3)",no,yes,10 years,ready to move,housing expert,10 months,0.1,yes,yes,60000.0,30000,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
